term,pos,schema definition / notes,comment,translation_es,comment_es,translation_es_MX,comment_es_MX,translation_es_CL,comment_es_CL,translation_es_UY,comment_es_UY,translation_es_GT,comment_es_GT,translation_es_BO,comment_es_BO,translation_es_EC,comment_es_EC,translation_es_PY,comment_es_PY,translation_es_AR,comment_es_AR,path
flattened data,Noun,,"i.e. data that is in a flat, table-like structure",,,,,,,datos planos,,,,,,Datos normalizados,,,,dato plano,,#N/A
Former Value,Noun,,,Valor anterior,,Valor anterior,,Valor anterior,Esto se refiere a un atributo genérico modificado en una adenda,Valor anterior,,Valor anterior,A QUE SE REFIERE,Valor anterior,,Valor anterior,,Valor anterior,,Valor anterior,,#N/A
gazetteer,Noun,,,diccionario geográfico,,diccionario geográfico,,diccionario geográfico,diccionario georeferenciado,diccionario geográfico,,diccionario geográfico,,diccionario geográfico,,diccionario geográfico,,diccionario geográfico,,ubicación geográfica,,#N/A
globally unique identifier,Noun,,"""Data that can be linked up using globally unique identifiers for companies is particularly important for fraud and corruption detection use cases""",identificador único global,,Identificador único global,,,,identificador único global,,,,,,Registro Único de Identificación,,,,identificador único global,,#N/A
good,Noun,,As opposed to the other types of deliverables that are services and works.,bien,,Bien,,Bienes,,bien,,BIENES,,,,Bien,,bienes,,bien,,#N/A
identifier,Noun,A string a characters that uniquely identifies an entity.,,,,Identificador,,,,identificador,,,,,,Identificación,,,,identificador,,"relatedProcesses/identifier,
parties/identifier,
contract/relatedProcesses/identifier"
implementation,Noun,,i.e. Implementation stage of a contracting process,ejecución,,Ejecución,,ejecución,,ejecución,,VIGENCIA DEL CONTRATO,"A PARTIR DE LA VIGENCIA, SE PUEDE REALIZAR CUALQUIER TRANSCCION EN EL INTERIN DEL CONTRATO.",ejecución,,Ejecución contractual,Fase de desarrollo del contrato,ejecución,,ejecución,,contracts/implementation
initiation type,Noun,,,,,Tipo de inicio,,"procedencia, tipo de proceso",según estándar OCP,tipo de iniciación o inicio,,TIPO DE CONCURSO,,,,,,,,tipo de contratación,ver.,initiationType
language,Noun,,,idioma,,Idioma,,idioma,,idioma,,idioma,,idioma,,idioma,,idioma,,idioma,,"planning/documents/language,
tender/documents/language,
awards/documents/language,
contracts/documents/language,
contracts/implementation/documents/language"
limited tender,Noun,A tender that is only advertised to a limited number of potential bidders.,,,,Licitación limitada,,licitación privada,,llamado cerrado,,lista corta ,,,no hay licitaciones limitadas,,,,,convocatoria limitada,,#N/A
